fips,county,state,source_type
01001,Autauga,Alabama,auto/jdi
01003,Baldwin,Alabama,auto/jdi
01009,Blount,Alabama,jdi
01017,Chambers,Alabama,jdi
01019,Cherokee,Alabama,auto/jdi
01023,Choctaw,Alabama,jdi
01027,Clay,Alabama,jdi
01029,Cleburne,Alabama,jdi
01031,Coffee,Alabama,jdi
01033,Colbert,Alabama,jdi
01037,Coosa,Alabama,jdi
01045,Dale,Alabama,auto/jdi
01049,Dekalb,Alabama,auto/jdi
01055,Etowah,Alabama,auto
01057,Fayette,Alabama,auto/jdi
01059,Franklin,Alabama,auto/jdi
01069,Houston,Alabama,jdi
01071,Jackson,Alabama,auto/jdi
01073,Jefferson,Alabama,auto
01093,Marion,Alabama,auto/jdi
01095,Marshall,Alabama,jdi
01097,Mobile,Alabama,jdi
01103,Morgan,Alabama,auto/jdi
01107,Pickens,Alabama,auto/jdi
01109,Pike,Alabama,auto/jdi
01111,Randolph,Alabama,jdi
01115,St. Clair,Alabama,jdi
01117,Shelby,Alabama,jdi
01121,Talladega,Alabama,jdi
01129,Washington,Alabama,jdi
04001,Apache,Arizona,jdi
04003,Cochise,Arizona,jdi
04009,Graham,Arizona,jdi
04015,Mohave,Arizona,jdi
04017,Navajo,Arizona,jdi
04025,Yavapai,Arizona,jdi
04027,Yuma,Arizona,auto/jdi
05005,Baxter,Arkansas,auto/jdi
05007,Benton,Arkansas,jdi
05009,Boone,Arkansas,auto/jdi
05027,Columbia,Arkansas,auto/jdi
05031,Craighead,Arkansas,auto/jdi
05033,Crawford,Arkansas,jdi
05035,Crittenden,Arkansas,jdi
05037,Cross,Arkansas,auto/jdi
05043,Drew,Arkansas,jdi
05045,Faulkner,Arkansas,auto/jdi
05047,Franklin,Arkansas,jdi
05057,Hempstead,Arkansas,auto/jdi
05061,Howard,Arkansas,jdi
05063,Independence,Arkansas,jdi
05069,Jefferson,Arkansas,auto/jdi
05071,Johnson,Arkansas,auto/jdi
05085,Lonoke,Arkansas,auto/jdi
05087,Madison,Arkansas,jdi
05089,Marion,Arkansas,auto/jdi
05095,Monroe,Arkansas,auto/jdi
05099,Nevada,Arkansas,auto/jdi
05103,Ouachita,Arkansas,jdi
05111,Poinsett,Arkansas,auto/jdi
05115,Pope,Arkansas,jdi
05123,St. Francis,Arkansas,auto/jdi
05125,Saline,Arkansas,auto/jdi
05129,Searcy,Arkansas,jdi
05137,Stone,Arkansas,auto/jdi
05139,Union,Arkansas,jdi
05141,Van Buren,Arkansas,auto/jdi
05143,Washington,Arkansas,jdi
05145,White,Arkansas,jdi
06001,Alameda,California,manual/state
06005,Amador,California,jdi/state
06007,Butte,California,state
06009,Calaveras,California,state
06011,Colusa,California,state
06013,Contra Costa,California,state
06015,Del Norte,California,state
06017,El Dorado,California,auto/jdi/state
06019,Fresno,California,auto/state
06021,Glenn,California,state
06023,Humboldt,California,state
06025,Imperial,California,state
06027,Inyo,California,state
06029,Kern,California,state
06031,Kings,California,auto/jdi/state
06033,Lake,California,jdi/state
06035,Lassen,California,state
06037,Los Angeles,California,manual/state
06039,Madera,California,jdi/state
06041,Marin,California,auto/jdi/state
06043,Mariposa,California,state
06045,Mendocino,California,state
06047,Merced,California,auto/state
06049,Modoc,California,state
06051,Mono,California,state
06053,Monterey,California,auto/state
06055,Napa,California,jdi/state
06057,Nevada,California,jdi/state
06059,Orange,California,auto/manual/state
06061,Placer,California,auto/state
06063,Plumas,California,state
06065,Riverside,California,auto/manual/state
06067,Sacramento,California,state
06069,San Benito,California,state
06071,San Bernardino,California,state
06073,San Diego,California,state
06075,San Francisco,California,manual/state
06077,San Joaquin,California,state
06079,San Luis Obispo,California,state
06081,San Mateo,California,state
